Date,Open,High,Low,Close,Adj Close,Volume
2016-06-13,77.400002,81.150002,71.099998,78.750000,70.260719,4996671
2016-06-20,76.800003,79.400002,69.250000,72.300003,64.506042,2411329
2016-06-27,72.000000,80.900002,71.900002,76.849998,68.565544,2955663
2016-07-04,77.099998,78.199997,73.099998,73.650002,65.710510,1439185
2016-07-11,74.300003,77.349998,72.500000,72.949997,65.085960,1618113
2016-07-18,73.599998,75.349998,69.050003,73.699997,65.755112,2044189
2016-07-25,72.599998,75.400002,70.599998,72.550003,64.729095,1155002
2016-08-01,74.300003,87.900002,68.550003,86.150002,76.863007,5201287
2016-08-08,87.900002,98.250000,82.500000,94.949997,84.714348,17155905
2016-08-15,94.949997,116.800003,91.400002,115.150002,102.736794,13125562
2016-08-22,115.750000,135.500000,115.750000,132.149994,117.904182,23026802
2016-08-29,130.949997,137.149994,120.300003,135.199997,120.625389,10671890
2016-09-05,135.199997,184.199997,133.300003,178.350006,159.123810,16650976
2016-09-12,171.250000,183.800003,164.000000,165.399994,147.569824,5869884
2016-09-19,166.699997,176.050003,161.500000,166.899994,148.908127,4613641
2016-09-26,166.000000,173.899994,155.699997,158.199997,141.145981,4737218
2016-10-03,159.500000,169.850006,159.449997,163.199997,145.606995,3518942
2016-10-10,164.000000,172.399994,155.100006,171.449997,152.967636,3409005
2016-10-17,171.899994,194.649994,171.399994,189.800003,169.339523,7167060
2016-10-24,188.100006,227.500000,188.100006,218.449997,194.901016,10858911
2016-10-31,218.449997,221.500000,176.449997,181.500000,161.934235,4205918
2016-11-07,185.850006,208.250000,181.350006,185.100006,165.146164,6392548
2016-11-14,185.100006,185.100006,148.100006,156.949997,140.030731,3475125
2016-11-21,157.000000,161.949997,142.250000,161.300003,143.911804,4232214
2016-11-28,161.500000,166.000000,154.500000,155.199997,138.469376,2522729
2016-12-05,154.850006,175.149994,153.550003,171.350006,152.878433,3293662
2016-12-12,171.000000,177.399994,163.600006,165.050003,147.257568,3207954
2016-12-19,165.000000,166.800003,149.050003,151.600006,135.257462,1556113
2016-12-26,150.250000,170.449997,141.149994,165.800003,147.926712,3330323
2017-01-02,164.050003,194.600006,161.899994,182.949997,163.227921,5608137
2017-01-09,183.550003,196.000000,181.000000,188.000000,167.733536,3052317
2017-01-16,187.800003,200.899994,183.550003,184.500000,164.610855,3032819
2017-01-23,184.800003,203.600006,184.300003,193.399994,172.551407,3099620
2017-01-30,192.000000,194.500000,183.000000,188.899994,168.536514,1684436
2017-02-06,189.949997,248.649994,186.550003,234.199997,208.953171,15227515
2017-02-13,234.149994,250.750000,222.800003,232.850006,207.748703,7319957
2017-02-20,235.000000,245.000000,229.899994,231.149994,206.231964,3045285
2017-02-27,231.699997,241.449997,222.100006,226.000000,201.637131,2457822
2017-03-06,226.449997,236.899994,220.350006,224.699997,200.477264,3259456
2017-03-13,224.699997,243.949997,224.699997,234.050003,208.819351,3284753
2017-03-20,236.000000,238.149994,225.350006,227.399994,202.886185,2273714
2017-03-27,228.000000,238.899994,225.100006,230.899994,206.008896,2258284
2017-04-03,232.100006,247.899994,226.250000,227.449997,202.930817,3677731
2017-04-10,228.600006,231.500000,215.850006,218.800003,195.213287,1645124
2017-04-17,219.000000,232.500000,216.100006,223.199997,199.138962,2386336
2017-04-24,224.500000,231.699997,216.449997,221.500000,197.622223,2032190
2017-05-01,221.500000,224.600006,210.449997,212.600006,189.681656,1167437
2017-05-08,216.000000,221.449997,210.449997,211.300003,188.521774,1283952
2017-05-15,212.649994,217.500000,202.000000,203.699997,181.741074,2055506
2017-05-22,205.449997,206.000000,178.250000,194.199997,173.265182,2522552
2017-05-29,194.050003,198.300003,182.149994,195.050003,174.023544,1307831
2017-06-05,195.050003,208.000000,191.500000,201.800003,182.888733,1928082
2017-06-12,200.000000,234.000000,196.050003,231.500000,209.805450,5376297
2017-06-19,227.699997,227.699997,198.100006,200.149994,181.393341,2751488
2017-06-26,200.149994,201.600006,188.899994,194.699997,176.454086,1374409
2017-07-03,195.399994,221.600006,194.649994,211.699997,191.860977,3294132
2017-07-10,213.000000,218.699997,205.750000,207.449997,188.009232,1550323
2017-07-17,208.000000,211.899994,200.149994,203.399994,184.338791,1719042
2017-07-24,204.000000,207.399994,195.100006,204.250000,185.109116,1776636
2017-07-31,205.949997,218.850006,197.649994,204.050003,184.927872,2870810
2017-08-07,204.899994,224.699997,195.000000,205.500000,186.241989,2589209
2017-08-14,210.000000,231.300003,207.000000,229.300003,207.811615,2614757
2017-08-21,232.000000,319.799988,225.000000,313.200012,283.849121,24474192
2017-08-28,314.700012,326.399994,293.149994,311.750000,282.535004,11354944
2017-09-04,314.500000,322.450012,308.000000,310.899994,281.764679,6018929
2017-09-11,313.200012,319.549988,302.200012,313.149994,283.803802,3354585
2017-09-18,314.950012,317.950012,285.799988,290.700012,263.457642,2170311
2017-09-25,291.000000,294.950012,267.049988,282.649994,256.162048,1671546
2017-10-02,282.649994,310.049988,277.549988,310.049988,280.994293,2544168
2017-10-09,320.000000,348.000000,309.250000,311.899994,282.670959,6810097
2017-10-16,313.950012,315.200012,302.000000,303.899994,275.420624,1097096
2017-10-23,304.500000,325.000000,293.100006,298.850006,270.843903,2077882
2017-10-30,300.000000,319.950012,300.000000,309.899994,280.858337,2305793
2017-11-06,309.549988,341.299988,305.200012,327.100006,296.446503,4004709
2017-11-13,322.899994,323.950012,302.000000,307.549988,278.728546,1598251
2017-11-20,309.500000,404.299988,306.049988,376.000000,340.763947,15731171
2017-11-27,373.500000,396.000000,346.450012,351.799988,318.831787,7968194
2017-12-04,354.399994,383.899994,336.000000,367.600006,333.151123,7017015
2017-12-11,368.850006,377.299988,358.250000,366.850006,332.471405,3053301
2017-12-18,364.000000,388.000000,342.450012,375.250000,340.084229,2992715
2017-12-25,375.250000,379.000000,363.000000,364.399994,330.250977,1144980
2018-01-01,366.600006,374.000000,356.049988,361.049988,327.214935,1243643
2018-01-08,363.000000,386.000000,361.899994,373.500000,338.498230,3323259
2018-01-15,375.750000,386.000000,340.049988,346.149994,313.711243,2202613
2018-01-22,346.500000,366.399994,343.799988,348.549988,315.886353,1556779
2018-01-29,348.350006,352.600006,265.200012,271.850006,246.374161,3085625
2018-02-05,260.000000,283.799988,246.649994,272.799988,247.235077,3339783
2018-02-12,276.000000,354.799988,275.600006,307.100006,278.320801,7395111
2018-02-19,309.100006,337.799988,290.799988,325.100006,294.633942,7996462
2018-02-26,327.950012,330.950012,310.549988,314.750000,285.253876,1944163
2018-03-05,314.700012,318.500000,283.299988,291.350006,264.046753,2377749
2018-03-12,294.450012,317.700012,288.500000,307.399994,278.592651,2975849
2018-03-19,309.000000,310.000000,273.049988,279.950012,253.715103,2565461
2018-03-26,282.000000,288.000000,256.000000,258.899994,234.637726,1574498
2018-04-02,260.000000,279.899994,258.000000,273.049988,247.461670,4781242
2018-04-09,275.000000,279.799988,264.000000,275.049988,249.274216,2656935
2018-04-16,272.000000,295.799988,267.450012,289.250000,262.143524,5204405
2018-04-23,290.000000,302.450012,280.250000,282.450012,255.980774,3256225
2018-04-30,284.000000,294.600006,266.600006,268.600006,243.428711,1773155
2018-05-07,269.250000,279.000000,262.700012,264.049988,239.305084,1488349
2018-05-14,263.299988,265.899994,226.550003,231.300003,209.624191,1905029
2018-05-21,229.899994,233.949997,217.199997,226.100006,204.911499,1641197
2018-05-28,227.350006,251.649994,227.350006,244.300003,221.405930,2898583
2018-06-04,245.800003,268.000000,228.500000,265.350006,240.483292,3622161
2018-06-11,265.000000,284.000000,259.000000,267.649994,246.211456,2062543
2018-06-18,266.899994,271.500000,245.100006,250.899994,230.803116,1121867
2018-06-25,251.000000,256.700012,221.800003,252.399994,232.182968,2007232
2018-07-02,252.000000,252.000000,236.250000,243.100006,223.627899,1062459
2018-07-09,244.800003,262.899994,243.350006,246.649994,226.893539,1616276
2018-07-16,246.050003,251.300003,232.000000,242.600006,223.167938,991565
2018-07-23,242.600006,264.299988,240.000000,250.350006,230.297180,1787278
2018-07-30,250.350006,264.000000,242.000000,254.000000,233.654816,1763526
2018-08-06,253.750000,255.449997,236.000000,236.550003,217.602539,1094182
2018-08-13,236.449997,239.500000,230.100006,233.050003,214.382904,479328
2018-08-20,234.800003,246.699997,229.699997,231.250000,212.727066,1190175
2018-08-27,231.399994,237.500000,226.000000,227.449997,209.231445,1503181
2018-09-03,227.649994,231.750000,210.050003,213.850006,196.720795,1051914
2018-09-10,214.000000,217.000000,198.000000,200.699997,184.624084,880339
2018-09-17,201.000000,201.000000,161.199997,174.550003,160.568695,1776063
2018-09-24,175.000000,178.050003,155.050003,165.350006,152.105606,1376398
2018-10-01,161.000000,165.000000,140.800003,142.600006,131.177872,990416
2018-10-08,142.600006,142.600006,120.000000,132.699997,122.070831,1319022
2018-10-15,134.800003,191.000000,133.449997,159.000000,146.264236,6050545
2018-10-22,161.699997,167.199997,140.050003,145.350006,133.707581,1673555
2018-10-29,146.350006,171.300003,144.100006,161.600006,148.655975,2107756
2018-11-05,160.000000,166.899994,157.100006,160.600006,147.736084,514719
2018-11-12,160.649994,166.800003,155.000000,158.199997,145.528305,730446
2018-11-19,158.250000,161.800003,154.100006,156.050003,143.550522,432661
2018-11-26,156.000000,182.800003,155.000000,174.800003,160.798676,2243242
2018-12-03,174.000000,184.000000,163.000000,167.199997,153.807419,1062243
2018-12-10,165.850006,194.949997,156.050003,182.350006,167.743927,3502758
2018-12-17,182.350006,207.550003,180.149994,190.350006,175.103119,3373521
2018-12-24,191.449997,198.699997,182.000000,191.850006,176.482971,1157722
2018-12-31,192.149994,195.850006,183.199997,185.350006,170.503632,1510360
2019-01-07,186.250000,205.500000,180.050003,199.800003,183.796188,3260379
2019-01-14,198.000000,209.899994,190.250000,193.199997,177.724838,3294944
2019-01-21,193.500000,201.699997,172.399994,175.750000,161.672577,1318341
2019-01-28,173.750000,179.949997,164.449997,171.500000,157.763000,1214679
2019-02-04,170.449997,171.500000,158.699997,162.550003,149.529892,868875
2019-02-11,162.449997,164.000000,146.500000,156.449997,143.918488,872585
2019-02-18,156.100006,168.500000,153.449997,164.649994,151.461670,841460
2019-02-25,165.199997,177.850006,153.149994,172.550003,158.728897,1445563
2019-03-04,172.550003,187.399994,170.199997,176.199997,162.086533,1375754
2019-03-11,179.850006,184.399994,170.000000,171.699997,157.946976,1296692
2019-03-18,173.649994,190.699997,172.100006,178.449997,164.156311,1954142
