Date,Open,High,Low,Close,Adj Close,Volume
2016-06-13,368.049988,378.000000,364.250000,376.350006,366.727142,3421651
2016-06-20,375.000000,400.500000,371.100006,390.450012,380.466553,6333821
2016-06-27,392.000000,413.799988,387.700012,405.850006,395.472778,6875696
2016-07-04,408.000000,409.899994,397.750000,401.450012,391.185303,1743951
2016-07-11,405.200012,435.000000,398.000000,417.750000,407.068542,6351996
2016-07-18,422.000000,422.000000,391.500000,409.700012,399.224365,2644047
2016-07-25,411.000000,432.500000,407.200012,421.399994,410.625153,4363731
2016-08-01,423.100006,429.000000,395.299988,416.450012,405.801758,7578129
2016-08-08,420.000000,422.200012,398.450012,401.950012,391.672516,5184985
2016-08-15,401.950012,409.899994,392.500000,402.000000,391.721191,3748904
2016-08-22,402.500000,410.350006,392.000000,405.750000,395.375336,4794807
2016-08-29,405.750000,424.200012,400.250000,418.350006,407.653198,4202789
2016-09-05,418.350006,444.500000,418.350006,423.950012,413.110016,4409262
2016-09-12,420.000000,420.000000,403.200012,407.600006,397.178070,5425480
2016-09-19,406.000000,419.000000,399.700012,409.000000,398.542267,4404140
2016-09-26,408.500000,413.950012,383.200012,395.100006,384.997650,5181289
2016-10-03,398.000000,408.899994,392.299988,395.299988,385.192535,4968157
2016-10-10,395.299988,408.600006,380.149994,385.250000,375.399536,9201222
2016-10-17,385.250000,394.000000,377.149994,379.399994,369.699127,6073436
2016-10-24,381.649994,381.649994,361.100006,373.549988,363.998657,7955809
2016-10-31,373.549988,384.299988,360.049988,369.049988,359.613739,11829644
2016-11-07,372.600006,383.500000,315.500000,334.950012,326.385681,14246800
2016-11-14,334.950012,338.100006,299.000000,303.299988,295.544861,13003487
2016-11-21,304.000000,319.200012,296.149994,316.149994,308.066284,10555551
2016-11-28,316.950012,333.399994,303.750000,313.200012,305.191772,11076812
2016-12-05,314.799988,335.500000,308.000000,326.549988,318.200378,7240862
2016-12-12,325.299988,330.850006,314.100006,321.700012,313.474426,5055498
2016-12-19,320.700012,327.899994,308.399994,314.299988,306.263611,5923037
2016-12-26,313.000000,328.000000,307.100006,326.799988,318.443970,4305020
2017-01-02,328.950012,363.000000,325.500000,355.200012,346.117889,8078050
2017-01-09,355.950012,366.450012,351.600006,358.350006,349.187317,3967879
2017-01-16,358.399994,374.899994,357.049988,360.700012,351.477234,4757909
2017-01-23,356.899994,378.450012,356.899994,372.799988,363.267822,4958584
2017-01-30,370.000000,394.399994,359.000000,379.750000,370.040161,4664019
2017-02-06,385.000000,435.399994,383.149994,432.000000,420.954132,19739090
2017-02-13,432.000000,433.799988,408.549988,431.500000,420.466949,5777805
2017-02-20,431.899994,458.500000,426.450012,432.950012,421.879852,9879459
