Date,APTECHT.NS,ATFL.NS,FORTIS.NS,MCX.NS,TATACOMM.NS,TITAN.NS,TV18BRDCST.NS
13-06-2016,78.75,522.200012,161.800003,999.400024,449.100006,376.350006,42.099998
20-06-2016,72.300003,519.799988,155.800003,959.950012,447.799988,390.450012,40.549999
27-06-2016,76.849998,521.299988,159.25,1008.950012,478.899994,405.850006,45.549999
04-07-2016,73.650002,514.75,158.850006,1065.099976,479.100006,401.450012,45.75
11-07-2016,72.949997,510.100006,169.949997,1018.650024,464.75,417.75,40.799999
18-07-2016,73.699997,507.75,180.449997,1082,460.649994,409.700012,39.549999
25-07-2016,72.550003,492.049988,171.75,1054.050049,440.600006,421.399994,40.349998
01-08-2016,86.150002,485.899994,189.050003,1019.900024,451.850006,416.450012,39.700001
08-08-2016,94.949997,486.899994,193.199997,1003.099976,479.350006,401.950012,39.099998
15-08-2016,115.150002,496.25,188.050003,992.099976,504.899994,402,39.950001
22-08-2016,132.149994,526.049988,172.899994,986.200012,524.5,405.75,40
29-08-2016,135.199997,530.950012,176.649994,998.950012,517.25,418.350006,41.799999
05-09-2016,178.350006,522.75,179.149994,951.700012,512.599976,423.950012,41.349998
12-09-2016,165.399994,529.849976,174.949997,976.700012,499.5,407.600006,43.150002
19-09-2016,166.899994,535.900024,175.25,1048.150024,531.650024,409,44.950001
26-09-2016,158.199997,505.149994,167,1351.25,565.650024,395.100006,44.5
03-10-2016,163.199997,514.400024,172.699997,1297.25,611.5,395.299988,47.849998
10-10-2016,171.449997,495.149994,170.550003,1345.150024,652.349976,385.25,43.799999
17-10-2016,189.800003,495.399994,177.300003,1292.25,680.049988,379.399994,44.400002
24-10-2016,218.449997,482.25,178.5,1285.75,635.299988,373.549988,44.5
31-10-2016,181.5,458.450012,168.699997,1332.699951,620.25,369.049988,40.900002
07-11-2016,185.100006,460.5,163.149994,1301.800049,624.349976,334.950012,39.849998
14-11-2016,156.949997,440.100006,160.25,1295.199951,609.650024,303.299988,37.549999
21-11-2016,161.300003,440.700012,176.449997,1241.449951,637.950012,316.149994,36.799999
28-11-2016,155.199997,463.100006,172.899994,1196.75,628.650024,313.200012,36.950001
05-12-2016,171.350006,458.149994,172.699997,1329.849976,640.549988,326.549988,38.599998
12-12-2016,165.050003,446.25,183.25,1312.599976,648.650024,321.700012,37.950001
19-12-2016,151.600006,442.399994,179.149994,1253.25,625.150024,314.299988,36.25
26-12-2016,165.800003,455,180.850006,1267.5,627.599976,326.799988,36.400002
02-01-2017,182.949997,454.049988,190.899994,1253.199951,633.599976,355.200012,38
09-01-2017,188,459.75,189.800003,1201.400024,672,358.350006,38.700001
16-01-2017,184.5,483.350006,183.899994,1194.449951,674.150024,360.700012,36.049999
23-01-2017,193.399994,489.5,190.699997,1202,721.799988,372.799988,36.75
30-01-2017,188.899994,512.700012,184.100006,1199.699951,749.200012,379.75,39.25
06-02-2017,234.199997,533.599976,194.699997,1090,751.75,432,41.450001
13-02-2017,232.850006,535.549988,195.449997,1123.099976,752.099976,431.5,39.049999
20-02-2017,231.149994,546.349976,195.699997,1140.449951,741.900024,432.950012,39.849998
27-02-2017,226,552.849976,187.100006,1115.5,744.299988,439.850006,41.049999
06-03-2017,224.699997,573.849976,178.199997,1091.150024,751.849976,445.299988,40.799999
13-03-2017,234.050003,560.549988,183.449997,1118.900024,763.200012,463.5,43
20-03-2017,227.399994,532.299988,176.899994,1218.300049,729.150024,447.950012,43.25
27-03-2017,230.899994,540.299988,180.699997,1205.050049,722.049988,462.75,42
03-04-2017,227.449997,558.450012,186.300003,1220.75,712.150024,485.399994,43.049999
10-04-2017,218.800003,566.25,185.449997,1210.099976,710.900024,484.149994,43.650002
17-04-2017,223.199997,541.049988,204.050003,1122.099976,705.849976,479.399994,42
24-04-2017,221.5,537.799988,220.300003,1215.650024,721.049988,470.25,41.799999
01-05-2017,212.600006,515.450012,210.75,1120.5,641.400024,491.200012,39.849998
08-05-2017,211.300003,508,208.399994,1104.400024,672.25,495,41.400002
15-05-2017,203.699997,507.25,203.550003,992.200012,675.049988,471.149994,39.400002
22-05-2017,194.199997,503.25,202.75,993.400024,655.799988,473.450012,36.450001
29-05-2017,195.050003,494.700012,192.949997,1006.799988,734.950012,471.75,35.849998
05-06-2017,201.800003,501.350006,193.550003,1052.400024,766.450012,525.450012,36.299999
12-06-2017,231.5,497.950012,190.5,1112.150024,735.75,516.400024,37.700001
19-06-2017,200.149994,492.25,172.5,1080.949951,722.900024,513.299988,36.299999
26-06-2017,194.699997,494.600006,162,1088.300049,722.900024,524.450012,36.150002
03-07-2017,211.699997,499.549988,158.850006,1091.599976,668.5,532.5,37.400002
10-07-2017,207.449997,500,162.949997,1096.650024,670.299988,533.650024,41.599998
17-07-2017,203.399994,525.5,163.550003,1127.75,655,543.200012,40.5
24-07-2017,204.25,524.900024,159.100006,1103.800049,674.5,533.150024,39.849998
31-07-2017,204.050003,527.299988,166.350006,1118.75,641.349976,611.200012,38.200001
07-08-2017,205.5,511.700012,151.949997,1040.550049,587.950012,607,35.25
14-08-2017,229.300003,513.549988,145.149994,1030,641.950012,623.5,36.400002
